,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
387690,3.0,22.90746118,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,1.0,,1.0,1.0,2.0,4.0,3.0,1.0,,,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387691,3.0,23.49226503,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,CE,2017,,,1.0,1.0,3.0,3.0,3.0,2.0,,,1.0,2.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,,473.6842105263158
387692,3.0,15.9453125,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387693,3.0,29.73356009,1.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,,26.31578947368421
387694,3.0,20.86111111,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,4.0,,1.0,1.0,8.0,2.0,4.0,2.0,,,1.0,5.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,,0.0
387695,3.0,13.32897959,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387696,3.0,,1.0,,,2.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387697,3.0,19.75555556,1.0,,,2.0,2.0,1.0,,2.0,,2.0,CE,2017,3.0,,1.0,1.0,1.0,2.0,3.0,2.0,,,,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387698,3.0,34.100705,1.0,,,2.0,2.0,4.0,,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,4.0,2.0,1.0,2.0,1.0,,,,289.4736842105263
387699,3.0,25.17877551,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,3.0,4.0,2.0,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
